Everest Hardware (Pvt) Ltd,Store - Stock Transfer Detail Report,LOCATION,MAIN
date,NUMBER,CODE,DESCRIPTION,QTY
2022-09-09,TNS1017,V15B-2G1W,2 GANG 1 WAY BLACK,1
2022-09-09,TNS1017,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,4
2022-09-09,TNS1017,V15W-1G1W,1 GANG 1 WAY  PEARL,1
2022-09-09,TNS1017,V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,1
2022-09-09,TNS1017,V15B-2G1W,2 GANG 1 WAY BLACK,1
2022-09-09,TNS1017,V15G-3G1W,3 GANG 1 WAY GOLD,1
2022-09-22,TNS1018,V15G-3G2W,3 GANG 2 WAY GOLD,1
2022-09-22,TNS1018,V15G-1G2W,1 GANG 2 WAY GOLD,2
2022-09-22,TNS1018,V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,3
2022-09-22,TNS1018,V15G-FCS,FAN SPEED 500W GOLD,2
2022-09-22,TNS1018,V15G-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,2
2022-09-22,TNS1018,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,2
2022-09-22,TNS1018,V15G-2G1W,2 GANG 1 WAY GOLD,4
2022-09-22,TNS1018,V15G-4G1W,4 GANG 1 WAY GOLD,3
2022-09-22,TNS1018,V15G-3G1W,3 GANG 1 WAY GOLD,4
2022-09-22,TNS1018,V15G-1G1W,1 GANG 1 WAY GOLD,5
2022-09-22,TNS1018,V15G-DBS,DOORBELL SWITCH GOLD,1
2022-09-22,TNS1018,V15G-TPSC,TELEPHONE SOCKET GOLD,1
2022-09-22,TNS1018,V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,1
2022-09-22,TNS1018,V15W-4G1W,4 GANG 1 WAY PEARL,4
2022-09-22,TNS1018,V15W-3G1W,3 GANG 1 WAY PEARL,2
2022-09-22,TNS1018,V15W-2G1W,2 GANG 1 WAY  PEARL,5
2022-09-22,TNS1018,V15W-DBS,DOORBELL SWITCH PEARL,1
2022-09-22,TNS1018,V15W-LDS,LIGHT DIMMER 500W PEARL,1
2022-09-22,TNS1018,V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,2
2022-09-22,TNS1018,V15W-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON PEARL,1
2022-09-22,TNS1018,V15W-KCS,40A KEY CARD - PEARL,1
2022-09-22,TNS1018,V15W-13SSC,13A SWITCHED SOCKET -SP-PERAL,1
2022-09-22,TNS1018,V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,2
2022-09-26,TNS1019,V15W-1G1W,1 GANG 1 WAY  PEARL,1
2022-09-26,TNS1020,V15W-2G1W,2 GANG 1 WAY  PEARL,5
2022-09-26,TNS1020,V15W-3G1W,3 GANG 1 WAY PEARL,5
2022-09-26,TNS1020,V15G-2G1W,2 GANG 1 WAY GOLD,1
2022-09-26,TNS1020,V15G-1G1W,1 GANG 1 WAY GOLD,1
2022-09-26,TNS1020,V15G-20NS,20A SWITCH WITH NEON GOLD,1
2022-09-26,TNS1021,V15G-1G1W,1 GANG 1 WAY GOLD,1
2022-09-26,TNS1021,V15G-4G2W,4 GANG 2 WAY GOLD,1
2022-09-26,TNS1021,V15G-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,1
2022-09-26,TNS1021,V15B-FCS,FAN SPEED 500W BLACK,1
,,,,
,,,,
,,,,
