STOCK BALANCE DETAILS AS AT 31-03-2023,,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price,
1,13A SWITCHED SOCKET WITH NEON SP BLACK,V15B-13NSC,V15 modular series,110,0.00,1860.00,
2,13A SWITCHED SOCKET -SP-BLACK,V15B-13SSC,V15 modular series,283,0.00,1680.00,
3,13A SWITCHED SOCKET WITH NEON +USB BLACK,V15B-13USC,V15 modular series,1029,0.00,2890.00,
4,1 GANG 1 WAY  BLACK,V15B-1G1W,V15 modular series,2701,0.00,820.00,
5,1 GANG  2 WAY  BLACK,V15B-1G2W,V15 modular series,583,0.00,1120.00,
6,1 GAN 3 WAY BLACK - INTERMEDATE,V15B-1G3W,V15 modular series,840,0.00,3720.00,
7,20A SWITCH WITH NEON BLACK,V15B-20NS,V15 modular series,924,0.00,2890.00,
8,2 GANG 1 WAY BLACK,V15B-2G1W,V15 modular series,2799,0.00,1180.00,
9,2 GANG  2 WAY  BLACK,V15B-2G2W,V15 modular series,1189,0.00,1320.00,
10,3 GANG 1 WAY BLACK,V15B-3G1W,V15 modular series,2551,0.00,1470.00,
11,3 GANG 2 WAY BLACK,V15B-3G2W,V15 modular series,1288,0.00,1650.00,
12,4 GANG 1 WAY BLACK,V15B-4G1W,V15 modular series,1909,0.00,1790.00,
13,4 GANG 2 WAY BLACK,V15B-4G2W,V15 modular series,1124,0.00,1990.00,
14,BLANK PLATE BLACK,V15B-BP,V15 modular series,967,0.00,750.00,
15,COMPUTER SOCKET BLACK,V15B-CSC,V15 modular series,546,0.00,2330.00,
16,DOORBELL SWITCH BLACK,V15B-DBS,V15 modular series,1490,0.00,1180.00,
17,"DOORBELL SWITCH ""DONT DISTURB"" - BLACK",V15B-DNDS,V15 modular series,146,0.00,3350.00,
18,FAN SPEED 500W BLACK,V15B-FCS,V15 modular series,1529,0.00,2980.00,
19,HUMEN BODY SENSOR SWITCH BLACK,V15B-HBS,V15 modular series,281,0.00,3630.00,
20,40A KEY CARD - BLACK,V15B-KCS,V15 modular series,78,0.00,5130.00,
21,LIGHT DIMMER 500W BLACK,V15B-LDS,V15 modular series,935,0.00,2520.00,
22,13+ PIN MF SWITCHED SOCKET WITH NEON BLACK,V15B-MFSC,V15 modular series,630,0.00,2330.00,
23,SHAVER 3X3 BLACK,V15B-SHV,V15 modular series,56,0.00,5970.00,
24,SATELLITE SOCKET BLACK,V15B-SLSC,V15 modular series,855,0.00,2240.00,
25,3W STAIRWAY BRUSHED COOL - BLACK,V15B-SWCL,V15 modular series,264,0.00,1930.00,
26,3W STAIRWAY WITH SENSER WARM - BLACK,V15B-SWSW,V15 modular series,411,0.00,2980.00,
27,3W STAIRWAY BRUSHED WARM - BLACK,V15B-SWWL,V15 modular series,-107,0.00,1930.00,
28,TOUCH DELAY SWITCH BLACK,V15B-TDS,V15 modular series,75,0.00,2980.00,
29,TELEPHONE + COMPUTER SOCKET - BLACK,V15B-TPCPM,V15 modular series,712,0.00,2520.00,
30,TELEPHONE SOCKET BLACK,V15B-TPSC,V15 modular series,742,0.00,2140.00,
31,TV SOCKET BLACK,V15B-TVSC,V15 modular series,561,0.00,2140.00,
32,VOICE COTROL SWITCH BLACK,V15B-VCS,V15 modular series,69,0.00,3070.00,
33,METAL DISTRIBUTION BOX BW-8-10 FLUSH - WHITE,HD10F-BW,DB BOX,82,0.00,5170.00,
34,METAL DISTRIBUTION BOX CW-8-10 FLUSH - DARK BROWN,HD10F-CW,DB BOX,140,0.00,5170.00,
35,METAL DISTRIBUTION BOX BW-8-10 SURFACE - WHITE,HD10S-BW,DB BOX,81,0.00,5310.00,
36,METAL DISTRIBUTION BOX CW-8-10 SURFACE - DARK BROWN,HD10S-CW,DB BOX,160,0.00,5310.00,
37,METAL DISTRIBUTION BOX BW-11-14 - FLUSH - WHITE,HD14F-BW,DB BOX,106,0.00,5730.00,
38,METAL DISTRIBUTION BOX CW-11-14 - FLUSH - DARK BROWN,HD14F-CW,DB BOX,148,0.00,5730.00,
39,METAL DISTRIBUTION BOX BW-11-14 SURFACE - WHITE,HD14S-BW,DB BOX,124,0.00,6010.00,
40,METAL DISTRIBUTION BOX CW-11-14 SURFACE - DARK BROWN,HD14S-CW,DB BOX,254,0.00,6010.00,
41,METAL DISTRIBUTION BOX BW-15-18 - FLUSH - WHITE,HD18F-BW,DB BOX,101,0.00,7550.00,
42,METAL DISTRIBUTION BOX CW-15-18 FLUSH - DARK BROWN,HD18F-CW,DB BOX,177,0.00,7550.00,
43,METAL DISTRIBUTION BOX BW-15-18 SURFACE - WHITE,HD18S-BW,DB BOX,126,0.00,7830.00,
44,METAL DISTRIBUTION BOX CW-15-18 SURFACE - DARK BROWN,HD18S-CW,DB BOX,247,0.00,7830.00,
45,METAL DISTRIBUTION BOX BW-19-22  - FLUSH - WHITE,HD22F-BW,DB BOX,114,0.00,8670.00,
46,METAL DISTRIBUTION BOX CW-19-22 FLUSH - DARK BROWN,HD22F-CW,DB BOX,193,0.00,8670.00,
47,METAL DISTRIBUTION BOX BW-19-22 SURFACE - WHITE,HD22S-BW,DB BOX,131,0.00,8950.00,
48,METAL DISTRIBUTION BOX CW-19-22 SURFACE - DARK BROWN,HD22S-CW,DB BOX,259,0.00,8950.00,
49,13A SWITCHED SOCKET WITH NEON SP GOLD,V15G-13NSC,V15 modular series,1812,0.00,1800.00,
50,13A SWITCHED SOCKET -SP-GOLD,V15G-13SSC,V15 modular series,1197,0.00,1620.00,
51,13A SWITCHED SOCKET WITH NEON +USB GOLD,V15G-13USC,V15 modular series,37,0.00,2790.00,
52,1 GANG 1 WAY GOLD,V15G-1G1W,V15 modular series,1780,0.00,760.00,
53,1 GANG 2 WAY GOLD,V15G-1G2W,V15 modular series,1225,0.00,1060.00,
54,1 GANG 3 WAY GOLD - INTERMEDIATE,V15G-1G3W,V15 modular series,657,0.00,3630.00,
55,20A SWITCH WITH NEON GOLD,V15G-20NS,V15 modular series,535,0.00,2790.00,
56,2 GANG 1 WAY GOLD,V15G-2G1W,V15 modular series,1975,0.00,1120.00,
57,2 GANG 2 WAY GOLD,V15G-2G2W,V15 modular series,765,0.00,1260.00,
58,3 GANG 1 WAY GOLD,V15G-3G1W,V15 modular series,1772,0.00,1410.00,
59,3 GANG 2 WAY GOLD,V15G-3G2W,V15 modular series,837,0.00,1590.00,
60,4 GANG 1 WAY GOLD,V15G-4G1W,V15 modular series,1841,0.00,1720.00,
61,4 GANG 2 WAY GOLD,V15G-4G2W,V15 modular series,813,0.00,1920.00,
62,BLANK PLATE GOLD,V15G-BP,V15 modular series,1005,0.00,690.00,
63,COMPUTER SOCKET GOLD,V15G-CSC,V15 modular series,509,0.00,2240.00,
64,DOORBELL SWITCH GOLD,V15G-DBS,V15 modular series,963,0.00,1120.00,
65,"DOORBELL SWITCH ""DONT DISTURB"" - GOLD",V15G-DNDS,V15 modular series,164,0.00,3170.00,
66,FAN SPEED 500W GOLD,V15G-FCS,V15 modular series,948,0.00,2890.00,
67,HUMEN BODY SENSOR SWITCH GOLD,V15G-HBS,V15 modular series,293,0.00,3540.00,
68,40A KEY CARD - GOLD,V15G-KCS,V15 modular series,123,0.00,4960.00,
69,LIGHT DIMMER 500W GOLD,V15G-LDS,V15 modular series,647,0.00,2420.00,
70,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,V15G-MFSC,V15 modular series,3665,0.00,2240.00,
71,SHAVER 3X3 GOLD,V15G-SHV,V15 modular series,80,0.00,5880.00,
72,SATELLITE SOCKET GOLD,V15G-SLSC,V15 modular series,769,0.00,2140.00,
73,3W STAIRWAY BRUSHED COOL - GOLD,V15G-SWCL,V15 modular series,449,0.00,1850.00,
74,3W STAIRWAY WITH SENSER WARM - GOLD,V15G-SWSW,V15 modular series,310,0.00,2840.00,
75,3W STAIRWAY BRUSHED WARM - GOLD,V15G-SWWL,V15 modular series,369,0.00,1850.00,
76,TOUCH DELAY SWITCH GOLD,V15G-TDS,V15 modular series,108,0.00,2890.00,
77,TELEPHONE + COMPUTER SOCKET - GOLD,V15G-TPCPM,V15 modular series,381,0.00,2420.00,
78,TELEPHONE SOCKET GOLD,V15G-TPSC,V15 modular series,315,0.00,2050.00,
79,TV SOCKET GOLD,V15G-TVSC,V15 modular series,600,0.00,2050.00,
80,VOICE COTROL SWITCH GOLD,V15G-VCS,V15 modular series,22,0.00,2980.00,
81,13A SWITCHED SOCKET WITH NEON SP PEARL,V15W-13NSC,V15 modular series,1951,0.00,1730.00,
82,13A SWITCHED SOCKET -SP-PERAL,V15W-13SSC,V15 modular series,93,0.00,1540.00,
83,13A SWITCHED SOCKET WITH NEON +USB PEARL,V15W-13USC,V15 modular series,201,0.00,2700.00,
84,1 GANG 1 WAY  PEARL,V15W-1G1W,V15 modular series,1701,0.00,690.00,
85,1 GANG 2 WAY  PEARL,V15W-1G2W,V15 modular series,908,0.00,980.00,
