RM STOCK BALANCE DETAILS AS AT 31-03-2023,,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price,
113,BACK PC PART,1000,RM,26541,0.00,0.00,
114,SCREWS,1001,RM,79623,0.00,0.00,
115,LIVE SWITCH COPPER PART,1002,RM,26541,0.00,0.00,
116,COPPER SWITCH PART,1003,RM,26541,0.00,0.00,
117,LIVE COPPER PART,1004,RM,26541,0.00,0.00,
118,NEUTRAL COPPER PART,1005,RM,26541,0.00,0.00,
119,BRASS EARTH PART,1006,RM,26541,0.00,0.00,
120,FRONT PC PART,1007,RM,26541,0.00,0.00,
121,SWTICH PC PART - PEARL,1008,RM,5300,0.00,0.00,
122,SWITCH PC  PART  - GOLD,1009,RM,7100,0.00,0.00,
123,NEON LAMP PART,1010,RM,20051,0.00,0.00,
124,SHUTTER,1011,RM,26541,0.00,0.00,
125,SHUTTER SPRING,1012,RM,26541,0.00,0.00,
126,PUSH BUTTON,1013,RM,26541,0.00,0.00,
127,PUSH BUTTON SPRING,1014,RM,26541,0.00,0.00,
128,V-7 PLATE,1015,RM,26541,0.00,0.00,
129,NEON COVER,1016,RM,20051,0.00,0.00,
130,COVER PLATE - GOLD,1017,RM,7100,0.00,0.00,
131,COVER PLATE - PEARL,1018,RM,5300,0.00,0.00,
132,FIXING SCREWS,1019,RM,26541,0.00,0.00,
136,SWITCH PC PART - BLACK,1021,RM,14141,0.00,0.00,
137,COVER PLATE - BLACK,1022,RM,14141,0.00,0.00,
