STOCK BALANCE DETAILS AS AT 2-11-2022,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price
1,13A SWITCHED SOCKET WITH NEON SP BLACK,V15B-13NSC,V15 modular series,63,375.27,"1,860.00"
2,13A SWITCHED SOCKET -SP-BLACK,V15B-13SSC,V15 modular series,108,360.30,"1,680.00"
3,13A SWITCHED SOCKET WITH NEON +USB BLACK,V15B-13USC,V15 modular series,537,849.68,"2,890.00"
4,1 GANG 1 WAY  BLACK,V15B-1G1W,V15 modular series,1238,238.10,820.00
5,1 GANG  2 WAY  BLACK,V15B-1G2W,V15 modular series,81,268.65,"1,120.00"
6,1 GAN 3 WAY BLACK - INTERMEDATE,V15B-1G3W,V15 modular series,740,389.05,"3,720.00"
7,20A SWITCH WITH NEON BLACK,V15B-20NS,V15 modular series,511,479.80,"2,890.00"
8,2 GANG 1 WAY BLACK,V15B-2G1W,V15 modular series,1249,318.67,"1,180.00"
9,2 GANG  2 WAY  BLACK,V15B-2G2W,V15 modular series,472,389.05,"1,320.00"
10,3 GANG 1 WAY BLACK,V15B-3G1W,V15 modular series,1051,409.42,"1,470.00"
11,3 GANG 2 WAY BLACK,V15B-3G2W,V15 modular series,538,509.75,"1,650.00"
12,4 GANG 1 WAY BLACK,V15B-4G1W,V15 modular series,766,489.98,"1,790.00"
13,4 GANG 2 WAY BLACK,V15B-4G2W,V15 modular series,355,630.45,"1,990.00"
14,BLANK PLATE BLACK,V15B-BP,V15 modular series,1289,153.64,750.00
15,COMPUTER SOCKET BLACK,V15B-CSC,V15 modular series,563,289.92,"2,330.00"
16,DOORBELL SWITCH BLACK,V15B-DBS,V15 modular series,1376,259.07,"1,180.00"
17,"DOORBELL SWITCH ""DONT DISTURB"" - BLACK",V15B-DNDS,V15 modular series,143,646.02,"3,350.00"
18,FAN SPEED 500W BLACK,V15B-FCS,V15 modular series,786,649.02,"2,980.00"
19,HUMEN BODY SENSOR SWITCH BLACK,V15B-HBS,V15 modular series,204,972.18,"3,630.00"
20,40A KEY CARD - BLACK,V15B-KCS,V15 modular series,69,1072.81,"5,130.00"
21,LIGHT DIMMER 500W BLACK,V15B-LDS,V15 modular series,866,556.77,"2,520.00"
22,13+ PIN MF SWITCHED SOCKET WITH NEON BLACK,V15B-MFSC,V15 modular series,2654,440.56,"2,330.00"
23,SHAVER 3X3 BLACK,V15B-SHV,V15 modular series,57,1861.99,"5,970.00"
24,SATELLITE SOCKET BLACK,V15B-SLSC,V15 modular series,867,278.24,"2,240.00"
25,3W STAIRWAY BRUSHED COOL - BLACK,V15B-SWCL,V15 modular series,135,353.41,"1,930.00"
26,3W STAIRWAY WITH SENSER WARM - BLACK,V15B-SWSW,V15 modular series,315,545.39,"2,980.00"
27,3W STAIRWAY BRUSHED WARM - BLACK,V15B-SWWL,V15 modular series,-2,353.41,"1,930.00"
28,TOUCH DELAY SWITCH BLACK,V15B-TDS,V15 modular series,78,497.47,"2,980.00"
29,TELEPHONE + COMPUTER SOCKET - BLACK,V15B-TPCPM,V15 modular series,524,349.22,"2,520.00"
30,TELEPHONE SOCKET BLACK,V15B-TPSC,V15 modular series,617,242.30,"2,140.00"
31,TV SOCKET BLACK,V15B-TVSC,V15 modular series,281,242.30,"2,140.00"
32,VOICE COTROL SWITCH BLACK,V15B-VCS,V15 modular series,74,515.14,"3,070.00"
33,METAL DISTRIBUTION BOX BW-8-10 FLUSH - WHITE,HD10F-BW,DB BOX,88,1124.86,"5,170.00"
34,METAL DISTRIBUTION BOX CW-8-10 FLUSH - DARK BROWN,HD10F-CW,DB BOX,153,1124.86,"5,170.00"
35,METAL DISTRIBUTION BOX BW-8-10 SURFACE - WHITE,HD10S-BW,DB BOX,87,1152.72,"5,310.00"
